x3/4 : ['a', 'b', 'c', 'e', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p', 'q', 'r', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']
s9 : ['u', 'n', 't', 'k', 'x', 'w', 'v', 'p', 'c', 'd', 'a', 'o', 'e', 'h', 'g', 'z', 'q', 's', 'l', 'y', 'r', 'f', 'b', 'j', 'i', 'm']
pg/c : ['u', 'n', 't', 'k', 'x', 'w', 'v', 'p', 'g', 'd', 'a', 'o', 'e', 'h', 'c', 'z', 'q', 's', 'l', 'y', 'r', 'f', 'b', 'j', 'i', 'm']
x7/11 : ['u', 'n', 't', 'k', 'x', 'w', 'v', 'o', 'g', 'd', 'a', 'p', 'e', 'h', 'c', 'z', 'q', 's', 'l', 'y', 'r', 'f', 'b', 'j', 'i', 'm']
pf/d : ['u', 'n', 't', 'k', 'x', 'w', 'v', 'o', 'g', 'f', 'a', 'p', 'e', 'h', 'c', 'z', 'q', 's', 'l', 'y', 'r', 'd', 'b', 'j', 'i', 'm']
x2/8 : ['u', 'n', 'g', 'k', 'x', 'w', 'v', 'o', 't', 'f', 'a', 'p', 'e', 'h', 'c', 'z', 'q', 's', 'l', 'y', 'r', 'd', 'b', 'j', 'i', 'm']
s12 : ['c', 'z', 'q', 's', 'l', 'y', 'r', 'd', 'b', 'j', 'i', 'm', 'u', 'n', 'g', 'k', 'x', 'w', 'v', 'o', 't', 'f', 'a', 'p', 'e', 'h']
x15/11 : ['c', 'z', 'q', 's', 'l', 'y', 'r', 'd', 'b', 'j', 'i', 'k', 'u', 'n', 'g', 'm', 'x', 'w', 'v', 'o', 't', 'f', 'a', 'p', 'e', 'h']
s6 : ['t', 'f', 'a', 'p', 'e', 'h', 'c', 'z', 'q', 's', 'l', 'y', 'r', 'd', 'b', 'j', 'i', 'k', 'u', 'n', 'g', 'm', 'x', 'w', 'v', 'o']
x5/9 : ['t', 'f', 'a', 'p', 'e', 's', 'c', 'z', 'q', 'h', 'l', 'y', 'r', 'd', 'b', 'j', 'i', 'k', 'u', 'n', 'g', 'm', 'x', 'w', 'v', 'o']
pk/i : ['t', 'f', 'a', 'p', 'e', 's', 'c', 'z', 'q', 'h', 'l', 'y', 'r', 'd', 'b', 'j', 'k', 'i', 'u', 'n', 'g', 'm', 'x', 'w', 'v', 'o']
s5 : ['m', 'x', 'w', 'v', 'o', 't', 'f', 'a', 'p', 'e', 's', 'c', 'z', 'q', 'h', 'l', 'y', 'r', 'd', 'b', 'j', 'k', 'i', 'u', 'n', 'g']
x7/10 : ['m', 'x', 'w', 'v', 'o', 't', 'f', 's', 'p', 'e', 'a', 'c', 'z', 'q', 'h', 'l', 'y', 'r', 'd', 'b', 'j', 'k', 'i', 'u', 'n', 'g']
pa/g : ['m', 'x', 'w', 'v', 'o', 't', 'f', 's', 'p', 'e', 'g', 'c', 'z', 'q', 'h', 'l', 'y', 'r', 'd', 'b', 'j', 'k', 'i', 'u', 'n', 'a']
x12/8 : ['m', 'x', 'w', 'v', 'o', 't', 'f', 's', 'z', 'e', 'g', 'c', 'p', 'q', 'h', 'l', 'y', 'r', 'd', 'b', 'j', 'k', 'i', 'u', 'n', 'a']
s5 : ['k', 'i', 'u', 'n', 'a', 'm', 'x', 'w', 'v', 'o', 't', 'f', 's', 'z', 'e', 'g', 'c', 'p', 'q', 'h', 'l', 'y', 'r', 'd', 'b', 'j']
x7/15 : ['k', 'i', 'u', 'n', 'a', 'm', 'x', 'g', 'v', 'o', 't', 'f', 's', 'z', 'e', 'w', 'c', 'p', 'q', 'h', 'l', 'y', 'r', 'd', 'b', 'j']
s6 : ['l', 'y', 'r', 'd', 'b', 'j', 'k', 'i', 'u', 'n', 'a', 'm', 'x', 'g', 'v', 'o', 't', 'f', 's', 'z', 'e', 'w', 'c', 'p', 'q', 'h']
x13/1 : ['l', 'g', 'r', 'd', 'b', 'j', 'k', 'i', 'u', 'n', 'a', 'm', 'x', 'y', 'v', 'o', 't', 'f', 's', 'z', 'e', 'w', 'c', 'p', 'q', 'h']
pf/b : ['l', 'g', 'r', 'd', 'f', 'j', 'k', 'i', 'u', 'n', 'a', 'm', 'x', 'y', 'v', 'o', 't', 'b', 's', 'z', 'e', 'w', 'c', 'p', 'q', 'h']
x3/7 : ['l', 'g', 'r', 'i', 'f', 'j', 'k', 'd', 'u', 'n', 'a', 'm', 'x', 'y', 'v', 'o', 't', 'b', 's', 'z', 'e', 'w', 'c', 'p', 'q', 'h']
ph/n : ['l', 'g', 'r', 'i', 'f', 'j', 'k', 'd', 'u', 'h', 'a', 'm', 'x', 'y', 'v', 'o', 't', 'b', 's', 'z', 'e', 'w', 'c', 'p', 'q', 'n']
x15/13 : ['l', 'g', 'r', 'i', 'f', 'j', 'k', 'd', 'u', 'h', 'a', 'm', 'x', 'o', 'v', 'y', 't', 'b', 's', 'z', 'e', 'w', 'c', 'p', 'q', 'n']
s4 : ['c', 'p', 'q', 'n', 'l', 'g', 'r', 'i', 'f', 'j', 'k', 'd', 'u', 'h', 'a', 'm', 'x', 'o', 'v', 'y', 't', 'b', 's', 'z', 'e', 'w']
x9/4 : ['c', 'p', 'q', 'n', 'j', 'g', 'r', 'i', 'f', 'l', 'k', 'd', 'u', 'h', 'a', 'm', 'x', 'o', 'v', 'y', 't', 'b', 's', 'z', 'e', 'w']
pc/g : ['g', 'p', 'q', 'n', 'j', 'c', 'r', 'i', 'f', 'l', 'k', 'd', 'u', 'h', 'a', 'm', 'x', 'o', 'v', 'y', 't', 'b', 's', 'z', 'e', 'w']
x3/2 : ['g', 'p', 'n', 'q', 'j', 'c', 'r', 'i', 'f', 'l', 'k', 'd', 'u', 'h', 'a', 'm', 'x', 'o', 'v', 'y', 't', 'b', 's', 'z', 'e', 'w']
s12 : ['a', 'm', 'x', 'o', 'v', 'y', 't', 'b', 's', 'z', 'e', 'w', 'g', 'p', 'n', 'q', 'j', 'c', 'r', 'i', 'f', 'l', 'k', 'd', 'u', 'h']
x11/12 : ['a', 'm', 'x', 'o', 'v', 'y', 't', 'b', 's', 'z', 'e', 'g', 'w', 'p', 'n', 'q', 'j', 'c', 'r', 'i', 'f', 'l', 'k', 'd', 'u', 'h']
pm/o : ['a', 'o', 'x', 'm', 'v', 'y', 't', 'b', 's', 'z', 'e', 'g', 'w', 'p', 'n', 'q', 'j', 'c', 'r', 'i', 'f', 'l', 'k', 'd', 'u', 'h']
x14/6 : ['a', 'o', 'x', 'm', 'v', 'y', 'n', 'b', 's', 'z', 'e', 'g', 'w', 'p', 't', 'q', 'j', 'c', 'r', 'i', 'f', 'l', 'k', 'd', 'u', 'h']
s6 : ['f', 'l', 'k', 'd', 'u', 'h', 'a', 'o', 'x', 'm', 'v', 'y', 'n', 'b', 's', 'z', 'e', 'g', 'w', 'p', 't', 'q', 'j', 'c', 'r', 'i']
pj/i : ['f', 'l', 'k', 'd', 'u', 'h', 'a', 'o', 'x', 'm', 'v', 'y', 'n', 'b', 's', 'z', 'e', 'g', 'w', 'p', 't', 'q', 'i', 'c', 'r', 'j']
x3/4 : ['f', 'l', 'k', 'u', 'd', 'h', 'a', 'o', 'x', 'm', 'v', 'y', 'n', 'b', 's', 'z', 'e', 'g', 'w', 'p', 't', 'q', 'i', 'c', 'r', 'j']
s7 : ['p', 't', 'q', 'i', 'c', 'r', 'j', 'f', 'l', 'k', 'u', 'd', 'h', 'a', 'o', 'x', 'm', 'v', 'y', 'n', 'b', 's', 'z', 'e', 'g', 'w']
x12/0 : ['h', 't', 'q', 'i', 'c', 'r', 'j', 'f', 'l', 'k', 'u', 'd', 'p', 'a', 'o', 'x', 'm', 'v', 'y', 'n', 'b', 's', 'z', 'e', 'g', 'w']
pk/b : ['h', 't', 'q', 'i', 'c', 'r', 'j', 'f', 'l', 'b', 'u', 'd', 'p', 'a', 'o', 'x', 'm', 'v', 'y', 'n', 'k', 's', 'z', 'e', 'g', 'w']
s11 : ['x', 'm', 'v', 'y', 'n', 'k', 's', 'z', 'e', 'g', 'w', 'h', 't', 'q', 'i', 'c', 'r', 'j', 'f', 'l', 'b', 'u', 'd', 'p', 'a', 'o']
x15/1 : ['x', 'c', 'v', 'y', 'n', 'k', 's', 'z', 'e', 'g', 'w', 'h', 't', 'q', 'i', 'm', 'r', 'j', 'f', 'l', 'b', 'u', 'd', 'p', 'a', 'o']
s14 : ['t', 'q', 'i', 'm', 'r', 'j', 'f', 'l', 'b', 'u', 'd', 'p', 'a', 'o', 'x', 'c', 'v', 'y', 'n', 'k', 's', 'z', 'e', 'g', 'w', 'h']
pn/d : ['t', 'q', 'i', 'm', 'r', 'j', 'f', 'l', 'b', 'u', 'n', 'p', 'a', 'o', 'x', 'c', 'v', 'y', 'd', 'k', 's', 'z', 'e', 'g', 'w', 'h']
x11/0 : ['p', 'q', 'i', 'm', 'r', 'j', 'f', 'l', 'b', 'u', 'n', 't', 'a', 'o', 'x', 'c', 'v', 'y', 'd', 'k', 's', 'z', 'e', 'g', 'w', 'h']
pg/m : ['p', 'q', 'i', 'g', 'r', 'j', 'f', 'l', 'b', 'u', 'n', 't', 'a', 'o', 'x', 'c', 'v', 'y', 'd', 'k', 's', 'z', 'e', 'm', 'w', 'h']
x12/1 : ['p', 'a', 'i', 'g', 'r', 'j', 'f', 'l', 'b', 'u', 'n', 't', 'q', 'o', 'x', 'c', 'v', 'y', 'd', 'k', 's', 'z', 'e', 'm', 'w', 'h']
s4 : ['e', 'm', 'w', 'h', 'p', 'a', 'i', 'g', 'r', 'j', 'f', 'l', 'b', 'u', 'n', 't', 'q', 'o', 'x', 'c', 'v', 'y', 'd', 'k', 's', 'z']
x5/7 : ['e', 'm', 'w', 'h', 'p', 'g', 'i', 'a', 'r', 'j', 'f', 'l', 'b', 'u', 'n', 't', 'q', 'o', 'x', 'c', 'v', 'y', 'd', 'k', 's', 'z']
s8 : ['x', 'c', 'v', 'y', 'd', 'k', 's', 'z', 'e', 'm', 'w', 'h', 'p', 'g', 'i', 'a', 'r', 'j', 'f', 'l', 'b', 'u', 'n', 't', 'q', 'o']
x9/15 : ['x', 'c', 'v', 'y', 'd', 'k', 's', 'z', 'e', 'a', 'w', 'h', 'p', 'g', 'i', 'm', 'r', 'j', 'f', 'l', 'b', 'u', 'n', 't', 'q', 'o']
s3 : ['t', 'q', 'o', 'x', 'c', 'v', 'y', 'd', 'k', 's', 'z', 'e', 'a', 'w', 'h', 'p', 'g', 'i', 'm', 'r', 'j', 'f', 'l', 'b', 'u', 'n']
pj/h : ['t', 'q', 'o', 'x', 'c', 'v', 'y', 'd', 'k', 's', 'z', 'e', 'a', 'w', 'j', 'p', 'g', 'i', 'm', 'r', 'h', 'f', 'l', 'b', 'u', 'n']
x0/1 : ['q', 't', 'o', 'x', 'c', 'v', 'y', 'd', 'k', 's', 'z', 'e', 'a', 'w', 'j', 'p', 'g', 'i', 'm', 'r', 'h', 'f', 'l', 'b', 'u', 'n']
s10 : ['g', 'i', 'm', 'r', 'h', 'f', 'l', 'b', 'u', 'n', 'q', 't', 'o', 'x', 'c', 'v', 'y', 'd', 'k', 's', 'z', 'e', 'a', 'w', 'j', 'p']
x2/4 : ['g', 'i', 'h', 'r', 'm', 'f', 'l', 'b', 'u', 'n', 'q', 't', 'o', 'x', 'c', 'v', 'y', 'd', 'k', 's', 'z', 'e', 'a', 'w', 'j', 'p']
pd/m : ['g', 'i', 'h', 'r', 'd', 'f', 'l', 'b', 'u', 'n', 'q', 't', 'o', 'x', 'c', 'v', 'y', 'm', 'k', 's', 'z', 'e', 'a', 'w', 'j', 'p']
x13/14 : ['g', 'i', 'h', 'r', 'd', 'f', 'l', 'b', 'u', 'n', 'q', 't', 'o', 'c', 'x', 'v', 'y', 'm', 'k', 's', 'z', 'e', 'a', 'w', 'j', 'p']
s11 : ['v', 'y', 'm', 'k', 's', 'z', 'e', 'a', 'w', 'j', 'p', 'g', 'i', 'h', 'r', 'd', 'f', 'l', 'b', 'u', 'n', 'q', 't', 'o', 'c', 'x']
pb/p : ['v', 'y', 'm', 'k', 's', 'z', 'e', 'a', 'w', 'j', 'b', 'g', 'i', 'h', 'r', 'd', 'f', 'l', 'p', 'u', 'n', 'q', 't', 'o', 'c', 'x']
x3/10 : ['v', 'y', 'm', 'b', 's', 'z', 'e', 'a', 'w', 'j', 'k', 'g', 'i', 'h', 'r', 'd', 'f', 'l', 'p', 'u', 'n', 'q', 't', 'o', 'c', 'x']
s5 : ['q', 't', 'o', 'c', 'x', 'v', 'y', 'm', 'b', 's', 'z', 'e', 'a', 'w', 'j', 'k', 'g', 'i', 'h', 'r', 'd', 'f', 'l', 'p', 'u', 'n']
x15/8 : ['q', 't', 'o', 'c', 'x', 'v', 'y', 'm', 'k', 's', 'z', 'e', 'a', 'w', 'j', 'b', 'g', 'i', 'h', 'r', 'd', 'f', 'l', 'p', 'u', 'n']
pm/c : ['q', 't', 'o', 'm', 'x', 'v', 'y', 'c', 'k', 's', 'z', 'e', 'a', 'w', 'j', 'b', 'g', 'i', 'h', 'r', 'd', 'f', 'l', 'p', 'u', 'n']
x4/14 : ['q', 't', 'o', 'm', 'j', 'v', 'y', 'c', 'k', 's', 'z', 'e', 'a', 'w', 'x', 'b', 'g', 'i', 'h', 'r', 'd', 'f', 'l', 'p', 'u', 'n']
s4 : ['l', 'p', 'u', 'n', 'q', 't', 'o', 'm', 'j', 'v', 'y', 'c', 'k', 's', 'z', 'e', 'a', 'w', 'x', 'b', 'g', 'i', 'h', 'r', 'd', 'f']
x5/8 : ['l', 'p', 'u', 'n', 'q', 'j', 'o', 'm', 't', 'v', 'y', 'c', 'k', 's', 'z', 'e', 'a', 'w', 'x', 'b', 'g', 'i', 'h', 'r', 'd', 'f']
s2 : ['d', 'f', 'l', 'p', 'u', 'n', 'q', 'j', 'o', 'm', 't', 'v', 'y', 'c', 'k', 's', 'z', 'e', 'a', 'w', 'x', 'b', 'g', 'i', 'h', 'r']
pa/h : ['d', 'f', 'l', 'p', 'u', 'n', 'q', 'j', 'o', 'm', 't', 'v', 'y', 'c', 'k', 's', 'z', 'e', 'h', 'w', 'x', 'b', 'g', 'i', 'a', 'r']
x14/2 : ['d', 'f', 'k', 'p', 'u', 'n', 'q', 'j', 'o', 'm', 't', 'v', 'y', 'c', 'l', 's', 'z', 'e', 'h', 'w', 'x', 'b', 'g', 'i', 'a', 'r']
pe/i : ['d', 'f', 'k', 'p', 'u', 'n', 'q', 'j', 'o', 'm', 't', 'v', 'y', 'c', 'l', 's', 'z', 'i', 'h', 'w', 'x', 'b', 'g', 'e', 'a', 'r']
x15/10 : ['d', 'f', 'k', 'p', 'u', 'n', 'q', 'j', 'o', 'm', 's', 'v', 'y', 'c', 'l', 't', 'z', 'i', 'h', 'w', 'x', 'b', 'g', 'e', 'a', 'r']
pp/b : ['d', 'f', 'k', 'b', 'u', 'n', 'q', 'j', 'o', 'm', 's', 'v', 'y', 'c', 'l', 't', 'z', 'i', 'h', 'w', 'x', 'p', 'g', 'e', 'a', 'r']
x14/5 : ['d', 'f', 'k', 'b', 'u', 'l', 'q', 'j', 'o', 'm', 's', 'v', 'y', 'c', 'n', 't', 'z', 'i', 'h', 'w', 'x', 'p', 'g', 'e', 'a', 'r']
s15 : ['v', 'y', 'c', 'n', 't', 'z', 'i', 'h', 'w', 'x', 'p', 'g', 'e', 'a', 'r', 'd', 'f', 'k', 'b', 'u', 'l', 'q', 'j', 'o', 'm', 's']
x13/7 : ['v', 'y', 'c', 'n', 't', 'z', 'i', 'a', 'w', 'x', 'p', 'g', 'e', 'h', 'r', 'd', 'f', 'k', 'b', 'u', 'l', 'q', 'j', 'o', 'm', 's']
s12 : ['r', 'd', 'f', 'k', 'b', 'u', 'l', 'q', 'j', 'o', 'm', 's', 'v', 'y', 'c', 'n', 't', 'z', 'i', 'a', 'w', 'x', 'p', 'g', 'e', 'h']
x5/6 : ['r', 'd', 'f', 'k', 'b', 'l', 'u', 'q', 'j', 'o', 'm', 's', 'v', 'y', 'c', 'n', 't', 'z', 'i', 'a', 'w', 'x', 'p', 'g', 'e', 'h']
pa/c : ['r', 'd', 'f', 'k', 'b', 'l', 'u', 'q', 'j', 'o', 'm', 's', 'v', 'y', 'a', 'n', 't', 'z', 'i', 'c', 'w', 'x', 'p', 'g', 'e', 'h']
x11/12 : ['r', 'd', 'f', 'k', 'b', 'l', 'u', 'q', 'j', 'o', 'm', 'v', 's', 'y', 'a', 'n', 't', 'z', 'i', 'c', 'w', 'x', 'p', 'g', 'e', 'h']
s9 : ['z', 'i', 'c', 'w', 'x', 'p', 'g', 'e', 'h', 'r', 'd', 'f', 'k', 'b', 'l', 'u', 'q', 'j', 'o', 'm', 'v', 's', 'y', 'a', 'n', 't']
x10/5 : ['z', 'i', 'c', 'w', 'x', 'd', 'g', 'e', 'h', 'r', 'p', 'f', 'k', 'b', 'l', 'u', 'q', 'j', 'o', 'm', 'v', 's', 'y', 'a', 'n', 't']
s7 : ['m', 'v', 's', 'y', 'a', 'n', 't', 'z', 'i', 'c', 'w', 'x', 'd', 'g', 'e', 'h', 'r', 'p', 'f', 'k', 'b', 'l', 'u', 'q', 'j', 'o']
x0/13 : ['g', 'v', 's', 'y', 'a', 'n', 't', 'z', 'i', 'c', 'w', 'x', 'd', 'm', 'e', 'h', 'r', 'p', 'f', 'k', 'b', 'l', 'u', 'q', 'j', 'o']
ph/f : ['g', 'v', 's', 'y', 'a', 'n', 't', 'z', 'i', 'c', 'w', 'x', 'd', 'm', 'e', 'f', 'r', 'p', 'h', 'k', 'b', 'l', 'u', 'q', 'j', 'o']
s10 : ['r', 'p', 'h', 'k', 'b', 'l', 'u', 'q', 'j', 'o', 'g', 'v', 's', 'y', 'a', 'n', 't', 'z', 'i', 'c', 'w', 'x', 'd', 'm', 'e', 'f']
x3/12 : ['r', 'p', 'h', 's', 'b', 'l', 'u', 'q', 'j', 'o', 'g', 'v', 'k', 'y', 'a', 'n', 't', 'z', 'i', 'c', 'w', 'x', 'd', 'm', 'e', 'f']
s8 : ['i', 'c', 'w', 'x', 'd', 'm', 'e', 'f', 'r', 'p', 'h', 's', 'b', 'l', 'u', 'q', 'j', 'o', 'g', 'v', 'k', 'y', 'a', 'n', 't', 'z']
x15/2 : ['i', 'c', 'q', 'x', 'd', 'm', 'e', 'f', 'r', 'p', 'h', 's', 'b', 'l', 'u', 'w', 'j', 'o', 'g', 'v', 'k', 'y', 'a', 'n', 't', 'z']
pp/a : ['i', 'c', 'q', 'x', 'd', 'm', 'e', 'f', 'r', 'a', 'h', 's', 'b', 'l', 'u', 'w', 'j', 'o', 'g', 'v', 'k', 'y', 'p', 'n', 't', 'z']
x5/0 : ['m', 'c', 'q', 'x', 'd', 'i', 'e', 'f', 'r', 'a', 'h', 's', 'b', 'l', 'u', 'w', 'j', 'o', 'g', 'v', 'k', 'y', 'p', 'n', 't', 'z']
s14 : ['b', 'l', 'u', 'w', 'j', 'o', 'g', 'v', 'k', 'y', 'p', 'n', 't', 'z', 'm', 'c', 'q', 'x', 'd', 'i', 'e', 'f', 'r', 'a', 'h', 's']
x13/11 : ['b', 'l', 'u', 'w', 'j', 'o', 'g', 'v', 'k', 'y', 'p', 'z', 't', 'n', 'm', 'c', 'q', 'x', 'd', 'i', 'e', 'f', 'r', 'a', 'h', 's']
s2 : ['h', 's', 'b', 'l', 'u', 'w', 'j', 'o', 'g', 'v', 'k', 'y', 'p', 'z', 't', 'n', 'm', 'c', 'q', 'x', 'd', 'i', 'e', 'f', 'r', 'a']
pn/e : ['h', 's', 'b', 'l', 'u', 'w', 'j', 'o', 'g', 'v', 'k', 'y', 'p', 'z', 't', 'e', 'm', 'c', 'q', 'x', 'd', 'i', 'n', 'f', 'r', 'a']
x15/0 : ['e', 's', 'b', 'l', 'u', 'w', 'j', 'o', 'g', 'v', 'k', 'y', 'p', 'z', 't', 'h', 'm', 'c', 'q', 'x', 'd', 'i', 'n', 'f', 'r', 'a']
s11 : ['h', 'm', 'c', 'q', 'x', 'd', 'i', 'n', 'f', 'r', 'a', 'e', 's', 'b', 'l', 'u', 'w', 'j', 'o', 'g', 'v', 'k', 'y', 'p', 'z', 't']
x4/13 : ['h', 'm', 'c', 'q', 'b', 'd', 'i', 'n', 'f', 'r', 'a', 'e', 's', 'x', 'l', 'u', 'w', 'j', 'o', 'g', 'v', 'k', 'y', 'p', 'z', 't']
po/c : ['h', 'm', 'o', 'q', 'b', 'd', 'i', 'n', 'f', 'r', 'a', 'e', 's', 'x', 'l', 'u', 'w', 'j', 'c', 'g', 'v', 'k', 'y', 'p', 'z', 't']
x2/5 : ['h', 'm', 'd', 'q', 'b', 'o', 'i', 'n', 'f', 'r', 'a', 'e', 's', 'x', 'l', 'u', 'w', 'j', 'c', 'g', 'v', 'k', 'y', 'p', 'z', 't']
s13 : ['x', 'l', 'u', 'w', 'j', 'c', 'g', 'v', 'k', 'y', 'p', 'z', 't', 'h', 'm', 'd', 'q', 'b', 'o', 'i', 'n', 'f', 'r', 'a', 'e', 's']
x11/1 : ['x', 'z', 'u', 'w', 'j', 'c', 'g', 'v', 'k', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'q', 'b', 'o', 'i', 'n', 'f', 'r', 'a', 'e', 's']
s5 : ['f', 'r', 'a', 'e', 's', 'x', 'z', 'u', 'w', 'j', 'c', 'g', 'v', 'k', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'q', 'b', 'o', 'i', 'n']
x12/2 : ['f', 'r', 'v', 'e', 's', 'x', 'z', 'u', 'w', 'j', 'c', 'g', 'a', 'k', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'q', 'b', 'o', 'i', 'n']
s15 : ['g', 'a', 'k', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'q', 'b', 'o', 'i', 'n', 'f', 'r', 'v', 'e', 's', 'x', 'z', 'u', 'w', 'j', 'c']
x15/13 : ['g', 'a', 'k', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'q', 'b', 'o', 'f', 'n', 'i', 'r', 'v', 'e', 's', 'x', 'z', 'u', 'w', 'j', 'c']
s14 : ['o', 'f', 'n', 'i', 'r', 'v', 'e', 's', 'x', 'z', 'u', 'w', 'j', 'c', 'g', 'a', 'k', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'q', 'b']
x9/5 : ['o', 'f', 'n', 'i', 'r', 'z', 'e', 's', 'x', 'v', 'u', 'w', 'j', 'c', 'g', 'a', 'k', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'q', 'b']
s10 : ['k', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'q', 'b', 'o', 'f', 'n', 'i', 'r', 'z', 'e', 's', 'x', 'v', 'u', 'w', 'j', 'c', 'g', 'a']
x13/12 : ['k', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'q', 'b', 'o', 'f', 'i', 'n', 'r', 'z', 'e', 's', 'x', 'v', 'u', 'w', 'j', 'c', 'g', 'a']
pn/e : ['k', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'q', 'b', 'o', 'f', 'i', 'e', 'r', 'z', 'n', 's', 'x', 'v', 'u', 'w', 'j', 'c', 'g', 'a']
x10/8 : ['k', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'o', 'b', 'q', 'f', 'i', 'e', 'r', 'z', 'n', 's', 'x', 'v', 'u', 'w', 'j', 'c', 'g', 'a']
pk/i : ['i', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'o', 'b', 'q', 'f', 'k', 'e', 'r', 'z', 'n', 's', 'x', 'v', 'u', 'w', 'j', 'c', 'g', 'a']
x0/9 : ['b', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'o', 'i', 'q', 'f', 'k', 'e', 'r', 'z', 'n', 's', 'x', 'v', 'u', 'w', 'j', 'c', 'g', 'a']
s8 : ['x', 'v', 'u', 'w', 'j', 'c', 'g', 'a', 'b', 'y', 'p', 'l', 't', 'h', 'm', 'd', 'o', 'i', 'q', 'f', 'k', 'e', 'r', 'z', 'n', 's']
x2/10 : ['x', 'v', 'p', 'w', 'j', 'c', 'g', 'a', 'b', 'y', 'u', 'l', 't', 'h', 'm', 'd', 'o', 'i', 'q', 'f', 'k', 'e', 'r', 'z', 'n', 's']
s1 : ['s', 'x', 'v', 'p', 'w', 'j', 'c', 'g', 'a', 'b', 'y', 'u', 'l', 't', 'h', 'm', 'd', 'o', 'i', 'q', 'f', 'k', 'e', 'r', 'z', 'n']
x8/0 : ['a', 'x', 'v', 'p', 'w', 'j', 'c', 'g', 's', 'b', 'y', 'u', 'l', 't', 'h', 'm', 'd', 'o', 'i', 'q', 'f', 'k', 'e', 'r', 'z', 'n']
po/c : ['a', 'x', 'v', 'p', 'w', 'j', 'o', 'g', 's', 'b', 'y', 'u', 'l', 't', 'h', 'm', 'd', 'c', 'i', 'q', 'f', 'k', 'e', 'r', 'z', 'n']
x10/14 : ['a', 'x', 'v', 'p', 'w', 'j', 'o', 'g', 's', 'b', 'h', 'u', 'l', 't', 'y', 'm', 'd', 'c', 'i', 'q', 'f', 'k', 'e', 'r', 'z', 'n']
pb/h : ['a', 'x', 'v', 'p', 'w', 'j', 'o', 'g', 's', 'h', 'b', 'u', 'l', 't', 'y', 'm', 'd', 'c', 'i', 'q', 'f', 'k', 'e', 'r', 'z', 'n']
x0/5 : ['j', 'x', 'v', 'p', 'w', 'a', 'o', 'g', 's', 'h', 'b', 'u', 'l', 't', 'y', 'm', 'd', 'c', 'i', 'q', 'f', 'k', 'e', 'r', 'z', 'n']
pn/i : ['j', 'x', 'v', 'p', 'w', 'a', 'o', 'g', 's', 'h', 'b', 'u', 'l', 't', 'y', 'm', 'd', 'c', 'n', 'q', 'f', 'k', 'e', 'r', 'z', 'i']
x14/10 : ['j', 'x', 'v', 'p', 'w', 'a', 'o', 'g', 's', 'h', 'y', 'u', 'l', 't', 'b', 'm', 'd', 'c', 'n', 'q', 'f', 'k', 'e', 'r', 'z', 'i']
s2 : ['z', 'i', 'j', 'x', 'v', 'p', 'w', 'a', 'o', 'g', 's', 'h', 'y', 'u', 'l', 't', 'b', 'm', 'd', 'c', 'n', 'q', 'f', 'k', 'e', 'r']
x3/6 : ['z', 'i', 'j', 'w', 'v', 'p', 'x', 'a', 'o', 'g', 's', 'h', 'y', 'u', 'l', 't', 'b', 'm', 'd', 'c', 'n', 'q', 'f', 'k', 'e', 'r']
s8 : ['d', 'c', 'n', 'q', 'f', 'k', 'e', 'r', 'z', 'i', 'j', 'w', 'v', 'p', 'x', 'a', 'o', 'g', 's', 'h', 'y', 'u', 'l', 't', 'b', 'm']
x1/10 : ['d', 'j', 'n', 'q', 'f', 'k', 'e', 'r', 'z', 'i', 'c', 'w', 'v', 'p', 'x', 'a', 'o', 'g', 's', 'h', 'y', 'u', 'l', 't', 'b', 'm']
s15 : ['w', 'v', 'p', 'x', 'a', 'o', 'g', 's', 'h', 'y', 'u', 'l', 't', 'b', 'm', 'd', 'j', 'n', 'q', 'f', 'k', 'e', 'r', 'z', 'i', 'c']
x2/0 : ['p', 'v', 'w', 'x', 'a', 'o', 'g', 's', 'h', 'y', 'u', 'l', 't', 'b', 'm', 'd', 'j', 'n', 'q', 'f', 'k', 'e', 'r', 'z', 'i', 'c']
s13 : ['b', 'm', 'd', 'j', 'n', 'q', 'f', 'k', 'e', 'r', 'z', 'i', 'c', 'p', 'v', 'w', 'x', 'a', 'o', 'g', 's', 'h', 'y', 'u', 'l', 't']
x15/8 : ['b', 'm', 'd', 'j', 'n', 'q', 'f', 'k', 'w', 'r', 'z', 'i', 'c', 'p', 'v', 'e', 'x', 'a', 'o', 'g', 's', 'h', 'y', 'u', 'l', 't']
